feedback_id,cluster_id,cluster_label,v3_cluster_id,v3_cluster_label
SYN-SUP-050,0,V4_C0,10,C4.1
SYN-SUP-051,0,V4_C0,9,C4.0
SYN-SUP-052,0,V4_C0,10,C4.1
SYN-SUP-053,0,V4_C0,10,C4.1
SYN-SUP-054,2,V4_C2,1,C1.0
SYN-SUP-055,2,V4_C2,1,C1.0
SYN-SUP-056,2,V4_C2,1,C1.0
SYN-SUP-057,2,V4_C2,1,C1.0
SYN-SUP-058,2,V4_C2,1,C1.0
SYN-SUP-059,2,V4_C2,1,C1.0
SYN-SUP-060,2,V4_C2,1,C1.0
SYN-SUP-061,4,V4_C4,6,C2
SYN-SUP-062,4,V4_C4,6,C2
SYN-SUP-063,4,V4_C4,6,C2
SYN-SUP-064,4,V4_C4,6,C2
SYN-SUP-065,4,V4_C4,6,C2
SYN-SUP-066,6,V4_C6,2,C1.1
SYN-SUP-067,4,V4_C4,6,C2
SYN-SUP-068,4,V4_C4,6,C2
SYN-SUP-069,6,V4_C6,2,C1.1
SYN-SUP-070,4,V4_C4,6,C2
SYN-SUP-071,1,V4_C1,12,C5.1
SYN-SUP-072,1,V4_C1,11,C5.0
SYN-SUP-073,1,V4_C1,11,C5.0
SYN-SUP-074,1,V4_C1,12,C5.1
SYN-SUP-075,1,V4_C1,11,C5.0
SYN-INT-001,7,V4_C7,5,C1.4
SYN-INT-002,7,V4_C7,5,C1.4
SYN-INT-003,7,V4_C7,5,C1.4
SYN-INT-004,7,V4_C7,5,C1.4
SYN-INT-005,7,V4_C7,5,C1.4
SYN-INT-006,7,V4_C7,5,C1.4
SYN-INT-007,7,V4_C7,5,C1.4
SYN-INT-008,7,V4_C7,5,C1.4
SYN-INT-009,2,V4_C2,3,C1.2
SYN-INT-010,2,V4_C2,3,C1.2
SYN-INT-011,2,V4_C2,3,C1.2
SYN-INT-012,2,V4_C2,3,C1.2
SYN-INT-013,0,V4_C0,9,C4.0
SYN-INT-014,2,V4_C2,3,C1.2
SYN-INT-015,6,V4_C6,4,C1.3
SYN-INT-016,6,V4_C6,4,C1.3
SYN-INT-017,6,V4_C6,4,C1.3
SYN-INT-018,1,V4_C1,12,C5.1
SYN-INT-019,6,V4_C6,4,C1.3
SYN-INT-020,1,V4_C1,12,C5.1
SYN-INT-021,1,V4_C1,12,C5.1
SYN-INT-022,6,V4_C6,2,C1.1
SYN-INT-023,3,V4_C3,8,C3.1
SYN-INT-024,6,V4_C6,2,C1.1
SYN-INT-025,3,V4_C3,8,C3.1
SYN-INT-026,3,V4_C3,8,C3.1
SYN-INT-027,6,V4_C6,2,C1.1
SYN-INT-028,0,V4_C0,9,C4.0
SYN-INT-029,0,V4_C0,10,C4.1
SYN-INT-030,0,V4_C0,9,C4.0
SYN-INT-031,0,V4_C0,10,C4.1
SYN-INT-032,0,V4_C0,9,C4.0
SYN-INT-033,0,V4_C0,10,C4.1
SYN-INT-034,6,V4_C6,4,C1.3
SYN-INT-035,2,V4_C2,1,C1.0
SYN-INT-036,2,V4_C2,1,C1.0
SYN-INT-037,4,V4_C4,6,C2
SYN-INT-038,6,V4_C6,2,C1.1
SYN-INT-039,1,V4_C1,12,C5.1
SYN-INT-040,1,V4_C1,12,C5.1
SYN-SUR-001,7,V4_C7,5,C1.4
SYN-SUR-002,7,V4_C7,5,C1.4
SYN-SUR-003,7,V4_C7,5,C1.4
SYN-SUR-004,7,V4_C7,5,C1.4
